   MODE    EXTRACTION       EIGENVALUE            RADIAN              CYCLIC           GENERALIZED         GENERALIZED
    NO.       ORDER                              FREQUENCY           FREQUENCY            MASS              STIFFNESS
        1       105        8.152405E+05        9.029067E+02        1.437021E+02        1.000000E+00        8.152405E+05             
        2       103        3.279206E+06        1.810858E+03        2.882070E+02        1.000000E+00        3.279206E+06             
        3       102        7.446395E+06        2.728808E+03        4.343033E+02        1.000000E+00        7.446395E+06             
        4       101        1.340932E+07        3.661874E+03        5.828054E+02        1.000000E+00        1.340932E+07             
        5       100        1.831643E+07        4.279770E+03        6.811465E+02        1.000000E+00        1.831643E+07             
        6        99        1.918413E+07        4.379969E+03        6.970938E+02        1.000000E+00        1.918413E+07             
        7        98        2.130578E+07        4.615819E+03        7.346304E+02        1.000000E+00        2.130578E+07             
        8        97        2.182328E+07        4.671540E+03        7.434986E+02        1.000000E+00        2.182328E+07             
        9        96        2.627252E+07        5.125672E+03        8.157761E+02        1.000000E+00        2.627252E+07             
       10        95        3.131038E+07        5.595567E+03        8.905622E+02        1.000000E+00        3.131038E+07             
       11        94        3.261641E+07        5.711078E+03        9.089463E+02        1.000000E+00        3.261641E+07             
       12        93        4.104114E+07        6.406336E+03        1.019600E+03        1.000000E+00        4.104114E+07             
       13        92        4.364450E+07        6.606399E+03        1.051441E+03        1.000000E+00        4.364450E+07             
       14        91        5.170526E+07        7.190637E+03        1.144425E+03        1.000000E+00        5.170526E+07             
       15        90        5.858784E+07        7.654270E+03        1.218215E+03        1.000000E+00        5.858784E+07             
       16        89        6.470232E+07        8.043775E+03        1.280207E+03        1.000000E+00        6.470232E+07             
       17        88        7.642346E+07        8.742051E+03        1.391341E+03        1.000000E+00        7.642346E+07             
       18        87        8.016846E+07        8.953685E+03        1.425023E+03        1.000000E+00        8.016846E+07             
       19        86        8.036350E+07        8.964569E+03        1.426755E+03        1.000000E+00        8.036350E+07             
       20        85        8.160071E+07        9.033312E+03        1.437696E+03        1.000000E+00        8.160071E+07             
       21        84        8.454388E+07        9.194774E+03        1.463394E+03        1.000000E+00        8.454388E+07             
       22        83        9.008953E+07        9.491551E+03        1.510627E+03        1.000000E+00        9.008953E+07             
       23        82        9.748674E+07        9.873537E+03        1.571422E+03        1.000000E+00        9.748674E+07             
       24        81        9.795093E+07        9.897017E+03        1.575159E+03        1.000000E+00        9.795093E+07             
       25        80        9.910916E+07        9.955358E+03        1.584444E+03        1.000000E+00        9.910916E+07             
       26        79        1.078130E+08        1.038330E+04        1.652554E+03        1.000000E+00        1.078130E+08             
       27        78        1.203809E+08        1.097182E+04        1.746220E+03        1.000000E+00        1.203809E+08             
       28        77        1.210850E+08        1.100386E+04        1.751319E+03        1.000000E+00        1.210850E+08             
       29        76        1.222534E+08        1.105683E+04        1.759748E+03        1.000000E+00        1.222534E+08             
       30        75        1.361004E+08        1.166621E+04        1.856734E+03        1.000000E+00        1.361004E+08             
       31        74        1.465052E+08        1.210394E+04        1.926401E+03        1.000000E+00        1.465052E+08             
       32        73        1.508507E+08        1.228213E+04        1.954762E+03        1.000000E+00        1.508507E+08             
       33        72        1.547371E+08        1.243934E+04        1.979782E+03        1.000000E+00        1.547371E+08             
